회사명,code
(주)리더스기술투자,19570
(주)모비데이즈,363260
(주)에이티넘인베스트먼트,21080
(주)티에스인베스트먼트,246690
(주)푸른상호저축은행,7330
(주)하이딥,365590
골든브릿지제2호기업인수목적(주),206660
골든브릿지제3호기업인수목적(주),219580
교보10호기업인수목적(주),355150
교보11호기업인수목적(주),397880
교보5호기업인수목적(주),223040
교보9호기업인수목적(주),331520
나우아이비캐피탈(주),293580
다올인베스트먼트(주),298870
대성창업투자(주),27830
대신밸런스제10호기업인수목적(주),387310
대신밸런스제11호기업인수목적(주),397500
대신밸런스제4호기업인수목적(주),262830
대신밸런스제8호기업인수목적(주),336570
대우기업인수목적2호(주),204440
대우기업인수목적3호(주),215580
동부제4호기업인수목적(주),230490
디비금융제10호기업인수목적(주),404950
디비금융제8호기업인수목적(주),367340
디비금융제9호기업인수목적(주),367360
디에스씨인베스트먼트(주),241520
린드먼아시아인베스트먼트(주),277070
메이슨캐피탈(주),21880
미래에셋대우기업인수목적1호(주),265480
미래에셋대우기업인수목적3호(주),328380
미래에셋대우기업인수목적5호(주),353490
미래에셋벤처투자(주),100790
미래에셋비전기업인수목적1호(주),412930
미래에셋제3호기업인수목적(주),215750
삼성기업인수목적4호(주),377630
삼성머스트기업인수목적5호(주),380320
상상인이안제2호기업인수목적(주),329560
상상인제3호기업인수목적(주),415580
스톤브릿지벤처스(주),330730
신영해피투모로우제5호기업인수목적(주),323280
신영해피투모로우제6호기업인수목적(주),344050
신영해피투모로우제7호기업인수목적(주),419270
신한제3호기업인수목적(주),257730
신한제4호기업인수목적(주),277480
신한제6호기업인수목적(주),333050
신한제7호기업인수목적(주),366330
신한제8호기업인수목적(주),393360
신한제9호기업인수목적(주),405640
씨앤에이치(주),23460
아이비케이에스제12호기업인수목적(주),335870
아이비케이에스제13호기업인수목적(주),351340
아이비케이에스제16호기업인수목적(주),388790
아이비케이에스제17호기업인수목적(주),405350
아이비케이에스제7호기업인수목적(주),276920
아주아이비투자(주),27360
에스브이인베스트먼트(주),289080
에스비아이인베스트먼트(주),19550
에스케이에이씨피씨제4호기업인수목적(주),307070
에스케이제1호기업인수목적(주),207930
에스케이제3호기업인수목적(주),232330
에스케이제5호기업인수목적(주),337450
에스케이제6호기업인수목적(주),340350
에스케이증권에이씨피씨제7호기업인수목적(주),408920
에이치엠씨아이비제4호기업인수목적(주),353070
에이치엠씨아이비제5호기업인수목적(주),353060
엔에이치기업인수목적13호(주),310840
엔에이치기업인수목적20호(주),391060
엔에이치기업인수목적21호(주),391710
엔에이치기업인수목적22호(주),396770
엔에이치기업인수목적7호 주식회사,217810
엔에이치에스엘기업인수목적(주),207720
엠벤처투자(주),19590
우리기술투자(주),41190
유안타제2호기업인수목적(주),219960
유안타제4호기업인수목적(주),313750
유안타제7호기업인수목적(주),367460
유안타제8호기업인수목적(주),367480
유진기업인수목적3호(주),221200
유진기업인수목적6호(주),373340
유진기업인수목적7호(주),388800
유진기업인수목적8호(주),413630
이베스트기업인수목적3호(주),225440
이베스트기업인수목적5호(주),349720
이베스트이안기업인수목적1호(주),323210
이베스트투자증권(주),78020
컴퍼니케이파트너스(주),307930
케이비드림투게더제3호기업인수목적(주),221950
케이비제17호기업인수목적(주),317030
케이비제18호기업인수목적(주),323940
케이비제19호기업인수목적(주),330990
케이비제20호기업인수목적(주),342550
케이비제8호기업인수목적(주),222390
케이비제9호기업인수목적(주),232270
케이티비기업인수목적1호(주),204650
케이프이에스제4호기업인수목적(주),347140
코리아에셋투자증권(주),190650
큐캐피탈파트너스(주),16600
키움제3호기업인수목적(주),218710
키움제4호기업인수목적(주),226850
키움제5호기업인수목적(주),311270
키움제6호기업인수목적(주),413600
하나금융14호기업인수목적(주),332710
하나금융15호기업인수목적(주),341160
하나금융16호기업인수목적(주),343510
하나금융19호기업인수목적(주),388220
하나금융20호기업인수목적(주),400560
하나금융21호기업인수목적(주),406760
하나머스트3호기업인수목적(주),208870
하나머스트7호기업인수목적(주),372290
하나머스트제6호기업인수목적(주),307160
하이에이아이1호기업인수목적(주),235010
하이제5호기업인수목적(주),340120
하이제6호기업인수목적(주),377400
하이제7호기업인수목적(주),400840
한국제10호기업인수목적(주),409570
한국제4호기업인수목적(주),240540
한국제5호기업인수목적(주),271740
한국제6호기업인수목적(주),281410
한국제7호기업인수목적(주),291210
한국캐피탈(주),23760
한화수성기업인수목적(주),265920
한화에스비아이기업인수목적(주),317320
한화에이스기업인수목적2호(주),219860
한화에이스기업인수목적3호(주),264290
한화에이스기업인수목적4호(주),279410
한화플러스제2호기업인수목적(주),386580
현대에이블기업인수목적1호(주),204760
