개별/연결,계정명,금액
연결재무제표,유동자산,18079335574.0
연결재무제표,비유동자산,35249885638.0
연결재무제표,자산총계,53329221212.0
연결재무제표,유동부채,17221417861.0
연결재무제표,비유동부채,1736120970.0
연결재무제표,부채총계,18957538831.0
연결재무제표,자본금,22386071500.0
연결재무제표,이익잉여금,-31672784858.0
연결재무제표,자본총계,34371682381.0
연결재무제표,매출액,35751939484.0
연결재무제표,영업이익,1662145638.0
연결재무제표,법인세차감전 순이익,1412578871.0
연결재무제표,당기순이익,1411081065.0
재무제표,유동자산,16139731967.0
재무제표,비유동자산,34923747600.0
재무제표,자산총계,51063479567.0
재무제표,유동부채,16273940263.0
재무제표,비유동부채,1736120970.0
재무제표,부채총계,18010061233.0
재무제표,자본금,22386071500.0
재무제표,이익잉여금,-32997533353.0
재무제표,자본총계,33053418334.0
재무제표,매출액,31950585373.0
재무제표,영업이익,1530441526.0
재무제표,법인세차감전 순이익,1183019836.0
재무제표,당기순이익,1184580583.0
